GEOID,route_id,n_stops,best_headway_min,total_trips,route_short_name,route_long_name,route_type
12086020100,30448,4,25.714285714285715,22,152,COUNTRY WALK-TRANSITWAY VIA 152 ST,3
12086020200,30422,3,18.0,30,52,GOULDS TO CORAL REEF DR STATION,3
12086020200,30446,16,30.0,88,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
12086020200,30448,18,25.714285714285715,106,152,COUNTRY WALK-TRANSITWAY VIA 152 ST,3
12086020300,30422,5,16.363636363636363,42,52,GOULDS TO CORAL REEF DR STATION,3
12086490100,28823,15,30.0,72,MIAFLAG,City of Miami - Flagami Route,3
12086490100,30400,15,16.363636363636363,131,7,DOWNTOWN-DOLPH MALL/AIRPORT VIA 7ST,3
12086490100,30419,10,15.0,114,37,HIALEAH-SO.MIAMI VIA PALM/37 AVE,3
12086490100,30421,4,45.0,14,42,DGLS RD-OPALOCKA TRI-RAIL,3
12086980200,30446,8,30.0,48,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
12086980300,30424,7,30.0,24,56,WEST DADE TO UNIV. STAT. VIA 56 ST,3
12086980300,30425,14,30.0,45,57,AIRPORT-GABLES-CHILD HOSP-UNIV STAT,3
12086980300,30979,2,5.142857142857143,70,2600,REGULAR METRORAIL SERVICE,2
12086980400,30414,17,10.588235294117647,270,26,BRICKELL STATION-KEY BISCAYNE,3
12086980500,14458,2,1.7475728155339805,205,MIA,AIRPORT PEOPLE MOVER,0
12086980500,23909,5,90.0,10,MIASPG,City of Miami Springs Free-Bee,3
12086980500,28823,8,22.5,47,MIAFLAG,City of Miami - Flagami Route,3
12086980500,30400,11,16.363636363636363,66,7,DOWNTOWN-DOLPH MALL/AIRPORT VIA 7ST,3
12086980500,30403,1,11.25,16,11,FIU-DOWNTOWN VIA FLAGLER ST,3
12086980500,30409,10,16.363636363636363,65,20,AIRPORT STATION TO LINCOLN RD,3
12086980500,30416,3,30.0,18,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086980500,30418,28,15.0,173,36,DORAL-AIRPORT-MIAMI BEACH VIA 36 ST,3
12086980500,30419,8,8.181818181818182,59,37,HIALEAH-SO.MIAMI VIA PALM/37 AVE,3
12086980500,30421,6,22.5,28,42,DGLS RD-OPALOCKA TRI-RAIL,3
12086980500,30425,18,36.0,62,57,AIRPORT-GABLES-CHILD HOSP-UNIV STAT,3
12086980500,30429,4,36.0,17,73,OKEECHOBEE-DADELAND SO-PALM BAY,3
12086980500,30435,11,120.0,11,95,I-95 GOLDEN GLADES EXPRESS,3
12086980500,30443,21,90.0,42,132,HIA.TRI-RAIL STA-DORAL VIA 36ST,3
12086980500,30447,1,15.0,12,150,MIAMI BEACH AIRPORT FLYER,3
12086980500,30979,2,10.0,35,2600,REGULAR METRORAIL SERVICE,2
12086980700,28805,1,60.0,3,HOMECR,City of Homestead Campbell Route,3
12086980700,30417,14,20.0,113,35,CUTLER BAY-FLA.CITY VIA LEISURE CTY,3
