GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086019401,Census Tract 194.01; Miami-Dade County; Florida,65.2,1.4,68.5,0.4,1.2,22.2,31.3,108074,125728,41183,1.9,0.0,0.0,2.5,11.4,11.0,16.2,32.3,16.3,8.4,0.6,5.3,5.5,0.0,29.6,58.7,11.7,76.0,24.0,3195,0.0,70.1,891,100.0,0.0,2693,44.9,23.5,20.3,59.7,1.4,23.2,3.1,60.0,48.1,2022
12086019402,Census Tract 194.02; Miami-Dade County; Florida,67.0,5.8,80.6,1.1,2.0,8.3,28.4,85476,103023,30790,5.6,0.0,5.5,9.2,6.4,19.4,16.0,11.9,13.7,12.2,19.6,5.6,8.4,0.8,18.4,53.2,27.6,55.9,44.1,2241,13.6,61.4,1766,97.6,2.4,5924,32.7,28.5,7.3,52.7,3.9,29.2,4.9,64.4,48.2,2022
12086019501,Census Tract 195.01; Miami-Dade County; Florida,69.4,4.8,76.2,0.0,0.0,10.2,37.5,91442,119124,41676,5.6,0.0,0.0,6.9,5.1,13.6,19.7,27.3,7.5,14.3,12.0,15.7,9.3,3.9,32.4,43.3,20.4,78.9,21.1,2224,18.8,47.6,1327,96.8,3.2,3769,41.6,22.1,13.7,46.3,3.2,35.6,3.9,78.5,52.1,2022
12086019502,Census Tract 195.02; Miami-Dade County; Florida,59.4,0.3,83.5,0.0,0.0,6.2,36.7,91383,118232,35430,0.0,0.0,2.6,0.7,6.0,28.3,24.6,22.1,4.7,11.0,5.1,17.2,8.5,8.8,22.0,34.2,34.9,82.6,17.4,2301,54.8,32.6,1323,100.0,0.0,4526,42.1,15.6,13.2,39.7,6.1,44.3,0.0,81.2,54.6,2022
12086019600,Census Tract 196; Miami-Dade County; Florida,65.5,3.3,80.2,4.3,0.0,9.8,41.8,126688,140841,40261,1.6,0.0,8.5,0.0,4.2,3.3,18.6,22.4,20.6,20.8,4.9,9.1,7.7,0.0,15.7,55.4,29.0,81.4,18.6,2860,0.0,83.9,1809,98.5,1.5,6530,35.2,28.8,8.3,39.8,8.8,32.9,4.3,77.5,42.6,2022
12086019700,Census Tract 197; Miami-Dade County; Florida,54.2,4.9,82.4,0.4,0.0,6.7,40.0,91382,115722,31954,2.2,0.0,1.2,12.2,5.3,12.3,19.8,16.4,19.6,10.8,11.7,9.2,7.1,2.5,7.9,45.3,44.3,93.5,6.5,2809,0.0,92.4,1079,100.0,0.0,4060,41.0,22.7,17.3,60.3,12.7,23.4,1.3,69.5,42.0,2022
12086019801,Census Tract 198.01; Miami-Dade County; Florida,67.5,4.9,75.4,0.0,0.0,10.0,38.4,104338,133947,37033,0.0,3.1,1.1,3.4,5.6,17.1,18.9,23.6,14.5,12.7,3.5,24.6,2.1,0.0,9.9,36.5,53.7,84.6,15.4,3057,0.0,43.6,1421,100.0,0.0,5450,39.9,21.1,16.0,56.9,8.8,26.2,0.7,79.7,41.6,2022
12086019802,Census Tract 198.02; Miami-Dade County; Florida,61.1,2.7,73.1,2.0,0.0,10.9,52.2,139400,133794,39983,0.0,0.0,7.7,0.0,3.7,11.0,13.3,17.1,33.9,13.3,5.2,13.7,9.9,1.3,16.7,45.6,36.4,97.2,2.8,-666666666,0.0,0.0,1658,100.0,0.0,5021,43.3,19.9,20.7,39.6,13.5,23.6,3.4,79.9,52.6,2022
12086019901,Census Tract 199.01; Miami-Dade County; Florida,58.5,5.4,84.4,1.6,0.5,5.3,59.0,57467,84490,27775,12.5,1.5,19.0,6.7,7.2,5.2,18.5,16.2,6.0,7.3,29.4,23.6,11.2,0.0,24.6,42.2,33.2,76.8,23.2,3158,0.0,68.5,1262,96.1,3.9,4093,35.2,25.8,16.2,46.5,6.2,32.8,4.2,70.8,50.1,2022
12086019902,Census Tract 199.02; Miami-Dade County; Florida,60.2,1.5,78.6,0.0,0.0,6.9,42.0,73760,77491,25002,2.7,0.0,2.7,11.9,5.3,33.3,22.4,12.3,8.8,0.5,2.8,24.1,10.5,2.9,30.6,48.9,17.6,63.3,36.7,2150,3.1,47.8,2236,95.8,4.2,7053,37.9,26.0,14.7,46.0,9.7,34.0,2.6,82.5,50.0,2022
