GEOID,NAME,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct
12086000507,Census Tract 5.07; Miami-Dade County; Florida,7.8,18.2,43.4,30.6,42.1,57.9,1543,14.1,42.0,1257,95.3,4.7
12086000508,Census Tract 5.08; Miami-Dade County; Florida,21.0,48.4,29.9,0.6,2.2,97.8,1307,16.0,64.9,1412,95.6,4.4
12086000509,Census Tract 5.09; Miami-Dade County; Florida,11.1,22.9,42.7,23.3,53.8,46.2,1195,0.0,61.8,1114,89.5,10.5
12086000601,Census Tract 6.01; Miami-Dade County; Florida,5.1,26.8,38.5,29.6,71.9,28.1,2018,31.0,39.4,1273,95.7,4.3
12086000602,Census Tract 6.02; Miami-Dade County; Florida,3.2,32.3,31.1,33.4,81.5,18.5,1578,6.2,30.0,1753,96.1,3.9
12086000603,Census Tract 6.03; Miami-Dade County; Florida,4.9,22.7,51.3,21.2,59.1,40.9,1827,2.8,43.3,1595,95.6,4.4
12086000605,Census Tract 6.05; Miami-Dade County; Florida,10.0,21.3,27.0,41.8,85.3,14.7,2060,0.0,45.8,1424,97.1,2.9
12086000607,Census Tract 6.07; Miami-Dade County; Florida,9.7,34.8,38.0,17.5,58.8,41.2,1557,1.8,62.0,1582,98.5,1.5
12086000609,Census Tract 6.09; Miami-Dade County; Florida,12.8,45.5,24.6,17.1,25.0,75.0,1089,19.2,37.1,1348,97.3,2.7
12086000610,Census Tract 6.10; Miami-Dade County; Florida,6.0,27.9,29.3,36.7,53.0,47.0,1493,32.3,32.0,958,96.0,4.0
12086000611,Census Tract 6.11; Miami-Dade County; Florida,10.8,24.1,28.6,36.6,56.6,43.4,1589,0.0,78.1,833,93.3,6.7
12086000612,Census Tract 6.12; Miami-Dade County; Florida,7.1,22.3,41.7,28.8,72.7,27.3,1449,4.3,68.8,957,96.9,3.1
12086000705,Census Tract 7.05; Miami-Dade County; Florida,15.6,49.8,27.7,6.8,32.0,68.0,1419,19.4,38.0,2190,98.2,1.8
12086000710,Census Tract 7.10; Miami-Dade County; Florida,14.5,44.9,32.0,8.5,9.0,91.0,1309,14.9,48.7,2003,95.8,4.2
12086000711,Census Tract 7.11; Miami-Dade County; Florida,11.8,53.7,25.1,9.4,27.6,72.4,1417,15.1,56.7,2113,98.2,1.8
12086000712,Census Tract 7.12; Miami-Dade County; Florida,5.0,36.9,46.6,11.5,27.4,72.6,1452,6.1,76.2,883,97.5,2.5
12086000713,Census Tract 7.13; Miami-Dade County; Florida,23.8,48.1,13.1,15.1,28.1,71.9,1600,5.4,66.1,1481,97.8,2.2
12086000714,Census Tract 7.14; Miami-Dade County; Florida,5.8,33.4,45.9,14.9,37.5,62.5,1708,4.0,57.4,1644,100.0,0.0
12086000715,Census Tract 7.15; Miami-Dade County; Florida,8.9,26.2,41.0,23.9,62.5,37.5,1834,15.4,53.6,1109,95.2,4.8
12086000716,Census Tract 7.16; Miami-Dade County; Florida,7.9,36.6,28.4,27.1,78.4,21.6,1854,22.0,39.9,860,100.0,0.0
12086000717,Census Tract 7.17; Miami-Dade County; Florida,11.8,24.3,31.9,31.9,80.4,19.6,1727,0.0,57.7,887,98.2,1.8
12086000718,Census Tract 7.18; Miami-Dade County; Florida,16.9,25.6,47.4,10.1,46.7,53.3,1771,13.9,70.8,1384,94.6,5.4
12086000719,Census Tract 7.19; Miami-Dade County; Florida,19.0,30.9,44.8,5.3,53.2,46.8,1658,7.1,75.0,453,100.0,0.0
12086000720,Census Tract 7.20; Miami-Dade County; Florida,18.7,32.4,26.2,22.7,39.7,60.3,1435,6.1,70.7,1317,95.6,4.4
12086000804,Census Tract 8.04; Miami-Dade County; Florida,8.3,27.8,35.3,28.6,36.2,63.8,1863,15.6,49.3,1548,97.1,2.9
12086000805,Census Tract 8.05; Miami-Dade County; Florida,3.0,32.5,46.1,18.3,56.2,43.8,1675,11.5,60.8,1694,98.9,1.1
12086000806,Census Tract 8.06; Miami-Dade County; Florida,21.8,44.1,25.4,8.8,24.9,75.1,1329,29.7,49.8,1639,96.4,3.6
12086000807,Census Tract 8.07; Miami-Dade County; Florida,15.3,36.5,31.2,17.1,12.5,87.5,1242,12.8,56.4,1650,98.4,1.6
12086000808,Census Tract 8.08; Miami-Dade County; Florida,9.9,47.6,28.0,14.5,30.8,69.2,1331,6.5,58.5,1516,95.3,4.7
12086000903,Census Tract 9.03; Miami-Dade County; Florida,9.0,51.5,29.6,9.8,47.1,52.9,1062,0.0,66.7,1292,95.0,5.0
12086000904,Census Tract 9.04; Miami-Dade County; Florida,5.5,43.2,29.5,21.8,76.5,23.5,1474,20.7,64.4,789,97.1,2.9
12086000905,Census Tract 9.05; Miami-Dade County; Florida,0.0,41.5,34.3,24.2,67.8,32.2,1395,0.0,69.9,1221,93.1,6.9
12086000906,Census Tract 9.06; Miami-Dade County; Florida,2.5,21.3,44.6,31.5,65.9,34.1,2484,0.0,24.6,558,100.0,0.0
12086000907,Census Tract 9.07; Miami-Dade County; Florida,0.0,14.7,45.6,39.7,63.5,36.5,2288,10.5,39.3,532,98.5,1.5
12086000908,Census Tract 9.08; Miami-Dade County; Florida,3.5,18.5,16.9,61.1,79.1,20.9,1582,0.0,62.4,949,100.0,0.0
