GEOID,NAME,total_population,median_age,under_18_pct,age_65_plus_pct,hispanic_latino_pct,white_alone_nh_pct,black_alone_nh_pct,asian_alone_or_combo_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,foreign_born_pct
12086000107,Census Tract 1.07; Miami-Dade County; Florida,2950.0,48.3,16.7,23.4,37.8,52.4,1.6,4.7,66.3,1.6,22.7,0.0
12086000212,Census Tract 2.12; Miami-Dade County; Florida,5019.0,39.0,23.2,11.6,46.5,8.3,40.4,0.7,32.7,41.0,18.1,3.1
12086000213,Census Tract 2.13; Miami-Dade County; Florida,5677.0,31.7,30.9,15.0,16.9,20.0,52.4,8.6,23.4,53.8,14.7,0.5
12086000215,Census Tract 2.15; Miami-Dade County; Florida,5680.0,35.8,28.1,12.6,9.7,0.6,85.5,3.4,4.9,89.1,3.2,0.0
12086000216,Census Tract 2.16; Miami-Dade County; Florida,4754.0,38.6,19.2,19.9,13.4,3.8,80.4,1.2,6.3,82.4,9.0,0.4
12086000218,Census Tract 2.18; Miami-Dade County; Florida,2934.0,42.8,19.1,20.7,26.4,3.6,68.7,0.9,10.3,68.7,16.1,1.3
12086000219,Census Tract 2.19; Miami-Dade County; Florida,4614.0,32.7,26.1,11.8,42.2,9.0,46.2,0.6,16.3,48.4,30.9,0.7
12086000220,Census Tract 2.20; Miami-Dade County; Florida,5659.0,31.4,32.9,10.1,23.2,5.9,70.9,0.0,10.6,73.4,10.4,0.0
12086000221,Census Tract 2.21; Miami-Dade County; Florida,1796.0,41.2,20.9,18.2,74.1,19.9,5.6,0.1,53.5,6.5,34.1,0.0
12086000222,Census Tract 2.22; Miami-Dade County; Florida,3892.0,42.2,17.1,18.9,51.2,16.6,25.4,5.1,32.8,36.6,18.1,1.4
12086000223,Census Tract 2.23; Miami-Dade County; Florida,3091.0,41.2,22.2,13.6,36.4,5.6,55.6,0.0,23.4,56.6,13.7,2.4
12086000224,Census Tract 2.24; Miami-Dade County; Florida,4353.0,35.2,23.3,6.6,25.8,6.4,63.1,0.8,13.1,63.1,16.6,0.2
12086000225,Census Tract 2.25; Miami-Dade County; Florida,3795.0,37.4,18.1,12.3,72.9,7.8,11.1,5.2,25.5,13.7,42.3,0.8
12086000226,Census Tract 2.26; Miami-Dade County; Florida,2213.0,40.0,31.9,26.1,13.5,77.9,5.3,2.2,79.5,5.3,6.5,0.0
12086000227,Census Tract 2.27; Miami-Dade County; Florida,2895.0,42.0,16.7,13.9,26.0,0.9,64.8,2.1,6.5,65.1,25.1,0.0
12086000228,Census Tract 2.28; Miami-Dade County; Florida,3014.0,38.9,19.6,14.9,22.2,3.6,73.2,0.2,5.5,73.4,17.9,0.0
12086000302,Census Tract 3.02; Miami-Dade County; Florida,2047.0,35.0,19.6,15.6,38.9,13.0,42.0,2.0,26.0,42.0,19.2,3.2
12086000306,Census Tract 3.06; Miami-Dade County; Florida,4585.0,38.3,21.2,16.7,24.3,6.2,65.3,1.5,13.1,65.8,16.7,0.4
12086000307,Census Tract 3.07; Miami-Dade County; Florida,4033.0,37.0,24.7,15.7,29.9,3.7,61.5,0.8,14.8,61.9,13.0,1.8
12086000308,Census Tract 3.08; Miami-Dade County; Florida,4717.0,39.1,21.3,14.7,26.1,6.5,59.9,1.9,17.0,60.0,17.2,0.0
12086000309,Census Tract 3.09; Miami-Dade County; Florida,3988.0,41.0,20.7,24.8,20.3,3.8,75.6,0.2,18.7,75.8,2.7,0.0
12086000310,Census Tract 3.10; Miami-Dade County; Florida,3590.0,40.4,24.4,18.5,32.7,4.6,54.1,6.2,5.7,54.1,31.6,2.1
12086000311,Census Tract 3.11; Miami-Dade County; Florida,4256.0,40.4,26.1,14.8,19.4,4.9,71.3,0.0,15.4,71.3,3.2,3.8
12086000312,Census Tract 3.12; Miami-Dade County; Florida,3156.0,38.1,26.8,18.4,18.3,8.9,71.0,1.0,13.0,71.0,11.8,0.0
12086000402,Census Tract 4.02; Miami-Dade County; Florida,4243.0,38.6,21.6,15.7,34.1,3.1,61.1,0.0,12.6,61.4,25.0,1.0
12086000405,Census Tract 4.05; Miami-Dade County; Florida,4022.0,40.2,25.2,12.6,37.4,0.6,61.6,0.0,7.3,61.7,24.1,0.0
12086000408,Census Tract 4.08; Miami-Dade County; Florida,5949.0,39.9,20.4,17.1,41.1,1.9,56.9,0.0,5.8,58.8,14.1,0.0
12086000409,Census Tract 4.09; Miami-Dade County; Florida,4595.0,32.5,28.3,12.0,26.7,0.6,70.8,2.0,7.0,71.3,13.1,0.0
12086000410,Census Tract 4.10; Miami-Dade County; Florida,5325.0,37.4,25.5,18.1,14.5,0.1,85.4,0.0,2.1,85.5,8.0,0.0
12086000411,Census Tract 4.11; Miami-Dade County; Florida,6174.0,40.3,24.9,14.3,18.3,3.0,77.5,0.0,7.9,77.5,7.7,0.0
12086000413,Census Tract 4.13; Miami-Dade County; Florida,5460.0,29.5,33.3,12.3,24.6,1.0,71.0,0.0,11.4,71.9,10.6,1.4
12086000414,Census Tract 4.14; Miami-Dade County; Florida,5121.0,35.2,23.2,13.1,22.2,1.2,75.9,0.2,5.3,78.7,9.2,0.5
12086000415,Census Tract 4.15; Miami-Dade County; Florida,2282.0,40.2,22.3,16.2,34.8,1.8,62.8,0.0,2.3,64.4,19.5,0.0
12086000416,Census Tract 4.16; Miami-Dade County; Florida,4786.0,45.9,20.5,24.6,63.0,0.1,35.6,0.9,23.4,36.6,20.7,0.0
12086000417,Census Tract 4.17; Miami-Dade County; Florida,4176.0,37.5,21.8,15.5,45.1,0.3,52.7,1.1,6.7,54.1,31.1,0.0
12086000418,Census Tract 4.18; Miami-Dade County; Florida,3122.0,33.5,21.7,7.1,20.3,0.0,78.1,0.0,5.3,78.6,15.1,0.0
12086000419,Census Tract 4.19; Miami-Dade County; Florida,3350.0,45.7,16.6,20.5,37.4,0.2,57.2,0.0,25.3,57.2,8.8,5.2
12086000420,Census Tract 4.20; Miami-Dade County; Florida,3951.0,36.8,21.7,24.4,17.0,0.6,64.3,0.7,4.0,68.0,20.2,2.7
12086000504,Census Tract 5.04; Miami-Dade County; Florida,4694.0,41.4,21.1,18.4,67.7,0.5,31.3,0.0,20.9,35.4,38.3,0.2
12086000505,Census Tract 5.05; Miami-Dade County; Florida,5236.0,40.0,16.4,19.6,95.3,2.1,2.6,0.0,28.2,5.7,62.8,0.0
12086000506,Census Tract 5.06; Miami-Dade County; Florida,2492.0,39.0,19.7,19.9,32.7,4.0,62.6,0.7,12.6,62.6,24.1,0.0
12086000507,Census Tract 5.07; Miami-Dade County; Florida,4877.0,34.6,16.5,13.5,52.8,6.8,36.8,2.8,22.2,38.8,31.1,0.0
12086000508,Census Tract 5.08; Miami-Dade County; Florida,3697.0,31.1,31.3,7.0,43.6,0.0,52.3,0.0,3.9,55.4,29.0,0.0
12086000509,Census Tract 5.09; Miami-Dade County; Florida,3447.0,38.2,23.9,15.5,56.6,14.2,29.1,0.0,28.5,29.1,39.0,0.0
12086000601,Census Tract 6.01; Miami-Dade County; Florida,3765.0,49.0,14.8,21.6,91.0,7.7,0.2,0.6,45.1,0.2,39.0,0.0
12086000602,Census Tract 6.02; Miami-Dade County; Florida,4647.0,54.6,12.2,27.2,95.2,4.7,0.1,0.0,30.3,0.1,64.1,0.0
12086000603,Census Tract 6.03; Miami-Dade County; Florida,4578.0,49.5,15.3,18.3,94.9,4.0,0.4,1.3,24.4,0.8,65.2,0.0
12086000605,Census Tract 6.05; Miami-Dade County; Florida,5143.0,44.7,13.3,19.3,95.5,3.7,0.6,0.5,31.3,2.5,60.6,0.0
12086000607,Census Tract 6.07; Miami-Dade County; Florida,4429.0,52.6,12.9,29.1,96.8,3.2,0.0,0.0,39.8,0.2,53.9,0.0
12086000609,Census Tract 6.09; Miami-Dade County; Florida,3516.0,50.9,15.6,19.9,98.0,1.5,0.3,0.0,35.5,0.3,56.1,0.0
12086000610,Census Tract 6.10; Miami-Dade County; Florida,2776.0,48.9,9.1,29.2,96.4,3.5,0.1,0.0,39.6,1.2,46.4,0.0
12086000611,Census Tract 6.11; Miami-Dade County; Florida,2576.0,47.5,17.2,15.2,91.1,3.5,2.8,3.1,36.1,2.8,56.1,0.3
12086000612,Census Tract 6.12; Miami-Dade County; Florida,3156.0,47.8,14.0,18.4,96.5,3.2,0.2,0.0,28.0,0.7,66.1,0.0
12086000705,Census Tract 7.05; Miami-Dade County; Florida,4636.0,47.6,18.0,25.5,98.4,1.4,0.0,0.0,30.6,0.0,58.2,0.0
12086000710,Census Tract 7.10; Miami-Dade County; Florida,4704.0,47.2,18.6,18.2,96.6,3.3,0.0,0.0,32.8,4.5,54.5,0.0
12086000711,Census Tract 7.11; Miami-Dade County; Florida,5786.0,42.5,21.8,18.2,87.6,0.3,12.2,1.4,25.1,12.6,56.3,0.0
12086000712,Census Tract 7.12; Miami-Dade County; Florida,2451.0,40.4,19.8,12.5,99.6,0.4,0.0,0.0,30.8,0.0,61.9,0.0
12086000713,Census Tract 7.13; Miami-Dade County; Florida,3036.0,49.2,10.2,21.3,98.5,0.4,1.1,0.0,49.3,1.1,45.7,0.0
12086000714,Census Tract 7.14; Miami-Dade County; Florida,4586.0,49.4,18.0,26.3,96.8,2.9,0.3,0.0,39.3,0.3,55.3,0.0
12086000715,Census Tract 7.15; Miami-Dade County; Florida,3507.0,49.6,18.0,26.0,96.0,3.3,0.0,0.7,34.4,0.0,50.0,0.0
12086000716,Census Tract 7.16; Miami-Dade County; Florida,2663.0,44.0,21.3,24.1,93.6,4.0,0.0,2.4,32.5,0.0,57.5,0.0
12086000717,Census Tract 7.17; Miami-Dade County; Florida,2648.0,53.5,10.2,26.1,94.0,4.9,0.9,0.0,44.7,3.5,34.7,0.2
12086000718,Census Tract 7.18; Miami-Dade County; Florida,3858.0,42.7,11.6,25.9,95.3,4.2,0.5,0.0,27.5,0.5,49.8,0.0
12086000719,Census Tract 7.19; Miami-Dade County; Florida,1314.0,51.0,11.8,25.1,98.2,1.1,0.4,0.0,39.6,1.4,56.4,0.0
12086000720,Census Tract 7.20; Miami-Dade County; Florida,3498.0,51.1,16.2,24.0,94.5,5.3,0.2,0.0,37.7,0.3,55.7,0.0
12086000804,Census Tract 8.04; Miami-Dade County; Florida,4151.0,48.5,15.0,25.1,97.4,1.4,1.3,0.0,32.1,1.8,55.0,0.0
12086000805,Census Tract 8.05; Miami-Dade County; Florida,5244.0,48.9,17.8,23.1,95.5,3.8,0.3,1.1,36.1,2.5,56.3,0.0
12086000806,Census Tract 8.06; Miami-Dade County; Florida,4084.0,48.6,15.6,28.9,91.7,5.0,0.7,0.8,37.8,2.6,45.8,1.7
