GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,hispanic_latino_pct,white_alone_nh_pct,black_alone_nh_pct,asian_alone_or_combo_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,foreign_born_pct,majority_group,income_quintile,race_majority,poverty_high,novehicle_high,income_low,transit_dependent_vulnerable
12086000220,Census Tract 2.20; Miami-Dade County; Florida,60.8,5.0,85.4,3.2,0.9,6.1,33.6,43719.0,54113.0,17171.0,5.4,9.9,12.4,4.5,24.3,24.5,7.3,8.6,1.8,1.4,26.5,35.4,21.5,6.4,56.0,23.0,14.5,31.6,68.4,1519.0,1.3,90.1,1802,94.1,5.9,5659.0,31.4,32.9,10.1,23.2,5.9,70.9,0.0,10.6,73.4,10.4,0.0,Majority Black,Q1 (Lowest),Black-Majority,True,False,True,False
12086000221,Census Tract 2.21; Miami-Dade County; Florida,61.8,10.9,62.9,9.2,1.8,1.7,24.6,78563.0,74638.0,27216.0,8.7,0.0,1.8,5.0,11.1,18.5,27.8,21.7,3.7,1.8,17.2,26.4,23.8,0.0,51.3,33.6,15.1,51.4,48.6,1768.0,12.2,56.6,710,87.6,12.4,1796.0,41.2,20.9,18.2,74.1,19.9,5.6,0.1,53.5,6.5,34.1,0.0,Majority Hispanic,Q4,Hispanic-Majority,False,False,False,False
12086000222,Census Tract 2.22; Miami-Dade County; Florida,74.0,2.5,67.9,4.3,1.5,2.1,32.3,60750.0,74632.0,28437.0,6.4,4.2,7.0,8.6,10.7,26.3,9.1,17.5,4.4,5.9,13.4,22.9,10.5,6.2,36.2,40.3,17.3,72.2,27.8,1431.0,37.8,49.5,1506,91.6,8.4,3892.0,42.2,17.1,18.9,51.2,16.6,25.4,5.1,32.8,36.6,18.1,1.4,Mixed,Q2,Mixed,False,False,False,False
12086000223,Census Tract 2.23; Miami-Dade County; Florida,59.7,2.2,74.2,10.5,0.0,7.5,31.8,42215.0,57731.0,20853.0,2.1,1.6,0.0,29.2,26.5,14.4,17.8,4.9,2.5,1.0,16.4,15.6,26.6,5.4,42.9,33.9,17.9,40.4,59.6,1661.0,0.0,94.1,1100,93.2,6.8,3091.0,41.2,22.2,13.6,36.4,5.6,55.6,0.0,23.4,56.6,13.7,2.4,Majority Black,Q1 (Lowest),Black-Majority,False,False,True,False
12086000224,Census Tract 2.24; Miami-Dade County; Florida,72.5,2.3,75.8,3.9,0.0,7.0,30.3,37225.0,55225.0,25216.0,15.8,0.6,18.7,7.6,14.1,14.8,7.9,15.5,3.4,1.6,20.7,18.2,16.1,20.9,41.6,27.8,9.7,9.9,90.1,1479.0,2.3,63.1,1880,98.0,2.0,4353.0,35.2,23.3,6.6,25.8,6.4,63.1,0.8,13.1,63.1,16.6,0.2,Majority Black,Q1 (Lowest),Black-Majority,True,True,True,True
12086000225,Census Tract 2.25; Miami-Dade County; Florida,67.5,1.3,73.5,4.1,1.6,2.3,27.9,52740.0,59678.0,30375.0,3.1,9.0,9.9,12.2,15.2,19.1,21.5,6.7,0.0,3.3,13.2,27.0,23.5,6.1,70.6,21.9,1.5,18.7,81.3,1490.0,1.0,59.3,2123,90.3,9.7,3795.0,37.4,18.1,12.3,72.9,7.8,11.1,5.2,25.5,13.7,42.3,0.8,Majority Hispanic,Q2,Hispanic-Majority,False,False,False,False
12086000226,Census Tract 2.26; Miami-Dade County; Florida,40.9,8.2,56.2,0.0,2.8,14.1,18.5,55762.0,96887.0,35165.0,9.3,12.8,11.6,8.4,5.0,9.7,13.3,16.5,6.1,7.3,15.8,18.1,6.8,18.9,48.9,28.6,3.6,91.7,8.3,2644.0,0.0,84.4,1061,73.8,26.2,2213.0,40.0,31.9,26.1,13.5,77.9,5.3,2.2,79.5,5.3,6.5,0.0,Majority White,Q2,White-Majority,False,True,False,False
12086000227,Census Tract 2.27; Miami-Dade County; Florida,60.9,1.4,74.5,6.3,0.9,8.0,34.0,53452.0,79329.0,26961.0,8.4,1.9,17.9,7.7,12.2,10.0,8.2,11.9,11.4,10.4,15.7,37.1,17.9,21.2,31.3,26.8,20.7,53.0,47.0,1342.0,9.7,55.4,876,97.5,2.5,2895.0,42.0,16.7,13.9,26.0,0.9,64.8,2.1,6.5,65.1,25.1,0.0,Majority Black,Q2,Black-Majority,False,True,False,False
12086000228,Census Tract 2.28; Miami-Dade County; Florida,63.2,2.4,75.0,5.1,0.7,1.0,31.3,48500.0,63412.0,22982.0,11.3,1.5,7.7,12.0,21.1,13.7,16.2,13.2,1.3,1.9,19.4,19.4,22.1,4.1,51.7,28.8,15.5,31.0,69.0,1523.0,7.9,68.6,1133,95.7,4.3,3014.0,38.9,19.6,14.9,22.2,3.6,73.2,0.2,5.5,73.4,17.9,0.0,Majority Black,Q2,Black-Majority,False,False,True,False
12086000302,Census Tract 3.02; Miami-Dade County; Florida,67.0,8.5,73.8,4.6,1.4,3.4,26.2,78300.0,86969.0,26988.0,5.7,2.8,3.6,10.5,7.0,19.3,17.5,17.8,11.3,4.7,8.5,14.1,19.6,4.9,21.5,46.4,27.2,84.8,15.2,2608.0,0.0,96.8,729,84.8,15.2,2047.0,35.0,19.6,15.6,38.9,13.0,42.0,2.0,26.0,42.0,19.2,3.2,Mixed,Q4,Mixed,False,False,False,False
