GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086004000,"Census Tract 40, Miami-Dade County, Florida",62.8,2.4,55.4,1.1,12.3,16.6,22.3,102023,189164,68346,5.2,5.1,2.9,4.2,4.8,16.8,8.3,15.5,7.5,29.6,6.7,2.3,6.4,9.4,33.9,48.0,8.7,66.2,33.8,1655,20.6,42.7,3467,48.5,51.5,4837,34.0,27.9,11.9,95.6,0.7,0.6,0.5,29.9,35.3,2019
12086004102,"Census Tract 41.02, Miami-Dade County, Florida",63.9,1.1,66.5,0.6,4.3,14.3,28.0,137009,291201,140763,1.8,5.2,6.0,7.0,3.4,10.0,4.9,12.1,7.8,41.8,12.1,3.7,7.7,8.0,48.4,28.4,15.2,69.2,30.8,2276,2.0,55.7,2229,62.6,37.4,2937,48.8,15.7,20.6,89.1,5.0,1.6,1.9,27.0,39.0,2019
12086004103,"Census Tract 41.03, Miami-Dade County, Florida",50.6,4.7,49.3,6.5,18.9,7.9,30.5,33294,53593,32572,26.7,6.2,10.8,10.2,15.9,11.9,8.5,5.5,1.0,3.3,25.7,23.1,14.2,34.6,51.7,11.6,2.2,16.6,83.4,1179,14.3,46.2,2513,51.8,48.2,2210,52.7,8.2,33.2,68.6,1.9,2.4,1.0,79.4,69.0,2019
12086004105,"Census Tract 41.05, Miami-Dade County, Florida",64.0,3.4,50.4,6.9,8.6,14.5,24.9,72896,121091,66329,5.1,4.0,8.1,10.9,6.9,19.1,12.7,12.2,6.5,14.5,9.7,3.0,10.1,12.6,63.8,18.7,4.9,54.0,46.0,1855,10.4,53.3,2464,50.1,49.9,2441,44.4,6.0,27.0,76.9,7.0,4.5,1.2,44.4,57.4,2019
12086004106,"Census Tract 41.06, Miami-Dade County, Florida",68.9,4.4,57.4,0.3,3.6,24.8,25.5,137000,208451,89735,2.9,0.9,5.9,5.1,2.1,8.5,8.6,20.6,11.7,33.7,3.1,2.7,3.1,6.6,46.4,41.5,5.5,70.3,29.7,2549,3.2,30.6,1733,69.6,30.4,2912,43.7,17.4,15.6,85.8,7.6,0.6,1.2,31.1,36.2,2019
12086004203,"Census Tract 42.03, Miami-Dade County, Florida",74.8,5.4,43.1,3.8,17.3,9.5,23.7,59883,88588,49922,4.7,3.2,9.3,16.0,11.3,9.2,17.9,14.9,3.8,9.8,11.4,6.3,19.0,21.4,54.7,22.5,1.4,25.2,74.8,1956,3.9,45.6,3702,71.6,28.4,4965,35.9,11.8,9.8,70.9,5.5,0.7,6.8,45.2,54.6,2019
12086004204,"Census Tract 42.04, Miami-Dade County, Florida",77.4,3.5,26.2,7.3,20.4,11.1,19.6,47575,68372,40489,6.5,2.3,15.0,11.4,20.9,18.8,6.3,7.0,8.5,3.4,14.6,8.5,35.4,45.8,45.6,7.1,1.5,21.8,78.2,1366,13.4,48.5,1718,77.8,22.2,2387,37.8,8.1,8.5,64.2,2.0,2.2,2.1,62.5,70.8,2019
12086004205,"Census Tract 42.05, Miami-Dade County, Florida",66.6,3.0,36.3,11.1,32.3,9.7,25.6,50000,114512,62708,8.3,0.9,12.1,13.9,14.9,11.1,11.8,7.2,5.4,14.5,13.9,4.4,24.9,42.4,46.5,8.9,2.2,36.2,63.8,1348,9.1,51.1,2534,50.4,49.6,2415,43.7,12.1,19.0,68.9,8.3,5.2,0.0,52.3,67.3,2019
12086004206,"Census Tract 42.06, Miami-Dade County, Florida",49.8,9.6,35.6,4.5,19.4,16.8,26.0,37131,69040,39909,18.4,8.2,16.0,1.9,15.3,16.7,2.9,6.3,5.1,9.1,16.6,14.2,8.9,32.9,54.0,8.8,4.3,48.0,52.0,915,11.9,52.1,1409,48.3,51.7,1223,53.9,2.8,32.5,89.0,9.0,0.0,0.9,70.2,58.8,2019
12086004301,"Census Tract 43.01, Miami-Dade County, Florida",73.3,3.1,54.3,5.6,10.2,14.5,28.0,76181,129132,84669,5.1,1.5,11.7,7.6,6.9,16.6,8.9,19.5,9.7,12.5,7.9,3.2,10.6,21.8,61.4,16.1,0.8,42.2,57.8,1928,9.6,34.3,2044,64.7,35.3,2119,39.7,8.4,10.3,74.5,7.2,1.1,4.0,44.2,52.0,2019
