GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,two_or_more_races_pct,year,hispanic_latino_pct,black_alone_pct,asian_alone_pct,foreign_born_pct
12086000204,Census Tract 2.04; Miami-Dade County; Florida,64.7,0.5,70.6,5.5,0.0,7.4,33.3,63449,78814,26298,9.3,7.5,4.8,8.2,4.3,27.5,15.1,10.7,5.6,7.1,20.2,24.2,12.8,2.1,27.7,31.8,38.4,77.2,22.8,2145,0.0,46.6,1237,93.0,7.0,3667,44.1,16.1,22.0,12.4,22.6,2024,34.0,54.4,2.7,50.6
12086000206,Census Tract 2.06; Miami-Dade County; Florida,54.2,3.5,57.3,7.7,2.3,12.6,34.9,54440,69454,19473,4.1,6.8,12.5,12.4,10.1,25.1,7.9,11.2,4.1,5.8,16.6,30.5,18.0,16.1,36.8,39.4,7.6,62.4,37.6,1703,8.1,76.1,2010,96.5,3.5,7277,35.2,29.8,17.3,7.4,14.2,2024,21.2,66.5,5.9,62.5
12086000211,Census Tract 2.11; Miami-Dade County; Florida,54.2,8.1,65.9,9.7,0.0,12.8,30.1,62634,79101,30257,5.2,2.7,8.2,14.0,14.4,13.0,14.1,14.8,7.8,5.9,15.2,17.5,20.2,5.2,34.3,37.1,23.4,59.5,40.5,2216,5.4,72.5,1068,84.4,15.6,2487,45.8,17.2,19.1,23.5,54.1,2024,63.7,11.8,1.5,50.9
12086000212,Census Tract 2.12; Miami-Dade County; Florida,61.6,7.0,80.9,6.3,0.0,6.3,28.0,49024,60286,24161,5.1,6.6,12.2,11.5,15.4,27.8,12.1,1.3,6.7,1.1,19.5,31.7,26.1,13.9,48.1,30.6,7.5,10.1,89.9,1428,4.9,55.7,2138,84.0,16.0,4760,38.3,23.9,12.7,9.9,33.7,2024,38.9,47.6,1.0,52.1
12086000213,Census Tract 2.13; Miami-Dade County; Florida,59.9,9.2,57.6,1.1,1.4,8.6,24.6,88929,99333,26984,2.2,2.9,3.8,7.7,13.3,15.6,14.9,27.3,1.7,10.5,5.1,37.5,16.4,7.7,49.5,23.9,18.9,49.2,50.8,1889,12.3,48.4,1751,89.4,10.6,5918,29.6,30.9,14.3,23.4,16.7,2024,17.3,52.4,3.0,36.1
12086000215,Census Tract 2.15; Miami-Dade County; Florida,62.3,11.2,68.0,8.9,0.0,8.6,30.5,75804,128550,41461,2.6,0.0,20.9,4.9,4.8,15.1,25.3,14.5,6.6,5.2,10.3,9.6,20.1,8.9,44.9,21.9,24.3,39.6,60.4,1732,11.6,62.3,1752,93.0,7.0,5291,36.8,23.2,10.9,5.4,4.8,2024,9.5,83.4,2.0,53.0
12086000216,Census Tract 2.16; Miami-Dade County; Florida,55.7,10.7,78.4,10.1,0.0,4.9,27.5,75541,89311,24774,0.8,1.7,5.5,11.4,3.5,23.9,18.0,23.8,7.9,3.5,9.3,21.2,18.6,19.0,28.1,30.6,22.4,68.2,31.8,1789,12.3,67.7,1306,90.9,9.1,4510,37.7,22.1,19.7,2.5,10.3,2024,17.1,76.2,3.2,52.5
12086000218,Census Tract 2.18; Miami-Dade County; Florida,58.5,5.5,74.4,7.6,3.3,5.6,28.9,53958,63016,24350,5.5,4.1,10.8,11.6,14.2,24.8,12.6,12.1,1.1,3.1,20.6,38.8,17.0,18.5,44.7,30.8,6.1,66.8,33.2,1707,1.1,75.0,1049,91.3,8.7,2691,40.8,21.0,19.5,7.2,21.2,2024,28.5,66.9,0.0,48.2
12086000219,Census Tract 2.19; Miami-Dade County; Florida,64.3,2.9,60.2,6.8,1.5,10.4,30.4,51646,63262,21416,14.5,5.0,3.1,17.1,8.6,18.8,18.5,6.7,4.5,3.3,21.5,25.2,22.6,11.1,49.1,34.7,5.0,25.0,75.0,1440,5.9,57.1,1773,86.1,13.9,4808,36.2,25.6,13.6,16.6,38.0,2024,50.0,35.7,1.2,55.0
12086000220,Census Tract 2.20; Miami-Dade County; Florida,61.2,7.7,86.2,3.0,2.5,4.8,32.9,44949,53285,17358,4.3,5.0,8.0,13.1,24.1,23.7,12.2,8.0,1.1,0.4,25.9,34.3,18.4,9.5,49.8,22.5,18.1,29.1,70.9,1626,8.7,81.1,1796,95.1,4.9,5651,34.5,28.6,10.7,9.3,15.6,2024,26.5,67.2,1.1,56.1
