tract_geoid,deficit_actual,deficit_predicted,residual,risk_tier
12086002501,0.2928967343256875,0.30001026,-0.007113529594142798,Low
12086002502,0.32217941921236626,0.33356428,-0.011384862251256789,Low
12086002600,0.22230463416901433,0.22599493,-0.0036902955022732054,Low
12086002702,0.2228005484160697,0.22309235,-0.0002917989674294519,Low
12086002710,0.4734611346155796,0.54179704,-0.06833590727742578,High
12086002705,0.2970242550265561,0.3008107,-0.0037864396679629375,Low
12086002707,0.4913017207778815,0.5204022,-0.02910047229157653,High
12086002800,0.3801316917599145,0.38201243,-0.0018807350932654177,Moderate
12086002900,0.2335398973408048,0.23715872,-0.003618818384140271,Low
12086003001,0.20625740630056452,0.2216945,-0.015437092953662163,Low
12086003006,0.5695283523839798,0.62817013,-0.05864178025304412,Critical
12086003004,0.30456210600879985,0.30574873,-0.0011866248891035935,Low
12086003100,0.26396963352249975,0.26891035,-0.004940714892875009,Low
12086003400,0.2451923009355718,0.2591257,-0.013933408598119618,Low
12086003606,0.4615980853693015,0.5659451,-0.10434700349407128,High
12086003605,0.581875446543249,0.57099193,0.010883513197454286,High
12086003710,0.4929723596971858,0.53408587,-0.041113510091937755,High
12086003703,0.168379409605229,0.23600873,-0.06762932390574206,Low
12086003704,0.15989571941320083,0.15745103,0.0024446858209767053,Low
12086003705,0.24412907269306042,0.2628991,-0.018770028087426643,Low
12086003706,0.08648069882408513,0.100956105,-0.014475405871711838,Low
12086003707,0.10352284670948367,0.11791139,-0.014388544250732854,Low
12086003801,0.36768546298618776,0.3758702,-0.008184735025210554,Moderate
12086003803,0.4322572401194826,0.3611387,0.07111853868057877,Low
12086003804,0.3743606978743857,0.35005623,0.02430446685250459,Low
12086003906,0.594719762292369,0.5730566,0.02166318365619957,High
12086003909,0.3664870469890872,0.3496168,0.016870251210812648,Low
12086003911,0.471576843104765,0.4520407,0.019536141000196516,High
12086003912,0.7018944933474123,0.6765108,0.025383682495361493,Critical
12086003913,0.3944405185675119,0.39138067,0.003059850881049486,Moderate
12086003914,0.38168395148976875,0.3654704,0.0162135420964582,Low
12086003915,0.32965960158802016,0.35212362,-0.02246401653789537,Low
12086003916,0.44588894563665543,0.4313283,0.014560648975278478,Moderate
12086003917,0.3627489721597361,0.36021984,0.0025291359246897294,Low
12086003918,0.3803854454092884,0.41524738,-0.034861935324201565,Moderate
12086003919,0.23559979595880653,0.23523624,0.0003635535452857219,Low
12086003921,0.309394964744597,0.3368834,-0.027488431165666072,Low
12086003922,0.2929070989543596,0.2883185,0.0045885841304460495,Low
12086004000,0.2230487530718471,0.22228457,0.0007641827355052422,Low
12086004102,0.2857358630235275,0.31582078,-0.030084920353166233,Low
12086004103,0.25664537549497224,0.24567723,0.010968142752662668,Low
12086004105,0.30362852001229734,0.32136065,-0.0177321276660779,Low
12086004106,0.31963354423693063,0.36307424,-0.043440698831764435,Low
12086004208,0.5967988639437987,0.57200974,0.024789121683819415,High
12086004204,0.36293417497395863,0.3661737,-0.0032395394253791343,Low
12086004205,0.3317172221957875,0.33818778,-0.006470561760740234,Low
12086004206,0.2316022673098157,0.2522515,-0.020649238541929904,Low
12086004301,0.36411084246927167,0.38680157,-0.022690728184643738,Moderate
12086004303,0.3460254988241034,0.3532139,-0.007188407464043589,Low
12086004304,0.3688824165305665,0.39908367,-0.030201257423443484,Moderate
