tract_fips,NAME,pop_16plus,in_labor_force,employed,unemployed,workers_16plus,commute_drove_alone,commute_carpooled,commute_public_transit,commute_walked,commute_other,commute_work_from_home,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,poverty_rate_pct,with_health_insurance,without_health_insurance,industry_agriculture,industry_construction,industry_manufacturing,industry_wholesale,industry_retail,industry_transport_warehouse,occupation_management,occupation_service,n_stops,n_trips_total,n_routes_served,avg_trips_per_stop,wheelchair_accessible_stops,has_rail_access,has_bus,routes_serving,transit_jobs_15min,transit_workers_15min,auto_jobs_15min,transit_auto_ratio_15min,transit_jobs_30min,transit_workers_30min,auto_jobs_30min,transit_auto_ratio_30min,transit_jobs_45min,transit_workers_45min,auto_jobs_45min,transit_auto_ratio_45min,transit_jobs_60min,transit_workers_60min,auto_jobs_60min,transit_auto_ratio_60min,bike_lts2_jobs_30min,bike_lts3_jobs_30min,n_census_blocks,rt_active_vehicles,rt_active_trips,pct_public_transit,pct_drove_alone,pct_walked,unemployment_rate,transit_desert
12086009315,Census Tract 93.15; Miami-Dade County; Florida,2603,1302,1214,88,1191,913,142,0,54,18,64,24.2,35964,45759,19183,-888888888,-888888888,-888888888,38,122,32,62,337,21,364,202,0,0,,,0,0,0,,2746.923076923077,4937.153846153846,289081.8461538461,0.0095,17855.76923076923,23246.153846153848,1449261.5384615385,0.0123,43513.307692307695,59336.769230769234,1986384.5384615385,0.0219,91650.84615384616,108515.07692307692,2222225.6153846155,0.0412,2674.3846153846152,63859.61538461538,13.0,0,0,0.0,76.66,4.53,6.76,0
12086009316,Census Tract 93.16; Miami-Dade County; Florida,2066,1539,1434,105,1434,1017,175,0,0,73,169,21.8,77139,94983,29752,-888888888,-888888888,-888888888,0,121,87,43,211,109,317,244,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,70.92,0.0,6.82,0
12086009317,Census Tract 93.17; Miami-Dade County; Florida,4079,2574,2529,45,2400,1931,242,17,12,10,188,25.2,74583,89740,29832,-888888888,-888888888,-888888888,13,106,152,164,206,275,714,320,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.71,80.46,0.5,1.75,0
12086009318,Census Tract 93.18; Miami-Dade County; Florida,1460,894,815,79,815,644,55,0,0,56,60,37.8,-666666666,81074,25834,-888888888,-888888888,-888888888,29,25,58,0,62,81,366,77,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,79.02,0.0,8.84,0
12086009319,Census Tract 93.19; Miami-Dade County; Florida,3625,2561,2487,74,2420,1951,52,0,11,48,358,37.1,93125,109170,37324,-888888888,-888888888,-888888888,0,389,144,98,145,171,1296,133,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,80.62,0.45,2.89,0
12086009320,Census Tract 93.20; Miami-Dade County; Florida,3704,2451,2353,98,2353,1924,142,19,0,75,193,26.7,46641,54916,18967,-888888888,-888888888,-888888888,21,262,320,83,183,341,565,642,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.81,81.77,0.0,4.0,0
12086009321,Census Tract 93.21; Miami-Dade County; Florida,2040,1384,1374,10,1307,873,146,43,0,18,227,23.9,81644,90419,32763,-888888888,-888888888,-888888888,4,181,177,33,81,64,648,296,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,3.29,66.79,0.0,0.72,0
12086009322,Census Tract 93.22; Miami-Dade County; Florida,3414,2010,2010,0,1978,1421,171,28,45,0,313,32.1,39283,43219,18354,-888888888,-888888888,-888888888,70,271,123,49,206,101,546,276,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1.42,71.84,2.28,0.0,0
12086009323,Census Tract 93.23; Miami-Dade County; Florida,2392,1566,1497,69,1445,1059,134,8,17,38,189,26.8,68947,91218,28991,-888888888,-888888888,-888888888,0,247,140,25,231,105,354,341,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.55,73.29,1.18,4.41,0
12086009324,Census Tract 93.24; Miami-Dade County; Florida,3257,1995,1910,34,1961,1519,325,0,0,8,109,25.3,45893,57708,24390,-888888888,-888888888,-888888888,18,314,207,89,146,193,462,285,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,77.46,0.0,1.7,0
