GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086007401,"Census Tract 74.01, Miami-Dade County, Florida",62.5,0.0,61.7,0.0,0.0,26.6,17.5,176845,234704,99920,3.2,0.0,2.9,3.6,10.8,11.8,0.0,15.0,10.3,42.4,1.4,0.0,0.0,12.5,34.7,39.1,13.7,86.8,13.2,3501,0.0,0.0,585,100.0,0.0,1407,48.5,26.2,24.4,79.1,0.0,20.9,0.0,57.3,8.8,2021
12086007402,"Census Tract 74.02, Miami-Dade County, Florida",58.6,1.5,69.8,2.2,2.7,11.0,24.7,133065,190315,86177,6.6,1.0,7.5,7.5,4.8,7.4,7.0,14.9,10.8,32.4,2.8,3.0,2.3,1.5,57.1,29.0,12.5,82.1,17.9,1900,0.0,56.0,1303,88.7,11.3,2706,44.3,25.1,19.4,83.5,0.0,11.5,0.0,55.8,1.3,2021
12086007403,"Census Tract 74.03, Miami-Dade County, Florida",57.0,1.6,50.5,0.0,4.1,33.0,23.4,130886,197661,101607,13.3,1.4,5.2,1.3,1.6,2.1,3.2,29.4,9.3,33.2,12.6,4.8,0.0,1.1,54.7,30.7,13.5,59.1,40.9,2875,2.5,41.8,1989,74.2,25.8,2873,40.4,14.6,22.0,56.9,1.1,32.2,6.9,58.1,5.3,2021
12086007501,"Census Tract 75.01, Miami-Dade County, Florida",60.6,2.9,61.9,0.6,1.0,30.9,20.1,210313,279963,103647,1.3,1.3,2.5,5.5,6.2,9.1,8.0,7.7,7.7,50.7,3.8,2.1,1.9,1.8,28.7,58.4,11.1,98.6,1.4,-666666666,0.0,38.5,989,95.8,4.2,2660,49.0,24.8,23.9,66.9,3.5,26.2,2.5,59.7,5.5,2021
12086007503,"Census Tract 75.03, Miami-Dade County, Florida",65.0,3.1,61.5,12.5,7.0,17.8,25.0,73438,158368,65555,1.2,6.5,0.0,9.8,11.0,22.3,6.5,7.1,7.4,28.2,9.4,0.9,0.7,13.6,40.7,30.0,15.7,73.3,26.7,1924,11.1,59.3,433,77.8,22.2,819,33.8,24.8,16.6,69.1,0.0,20.6,0.5,58.6,6.1,2021
12086007601,"Census Tract 76.01, Miami-Dade County, Florida",68.5,5.1,69.8,2.5,0.7,20.3,23.2,104615,145625,50716,0.7,0.0,4.8,3.7,13.2,14.4,8.6,12.6,19.1,23.0,4.5,5.4,8.9,10.3,28.5,42.8,18.4,79.4,20.6,1493,2.9,57.0,918,95.2,4.8,2573,39.0,26.4,14.4,66.7,0.1,21.3,2.4,75.4,2.3,2021
12086007603,"Census Tract 76.03, Miami-Dade County, Florida",48.7,3.1,67.8,11.7,7.4,5.2,34.1,28125,54110,24010,19.9,10.5,15.5,9.7,10.1,13.8,6.5,7.4,1.8,4.8,33.2,23.8,11.2,18.5,48.9,23.8,8.9,28.7,71.3,1691,4.7,70.0,1845,84.0,16.0,3758,30.4,15.3,18.3,45.6,34.7,14.0,5.1,32.7,0.8,2021
12086007605,"Census Tract 76.05, Miami-Dade County, Florida",67.4,0.8,75.1,4.8,0.0,13.3,26.9,74679,93939,42692,0.3,2.9,5.0,18.4,4.6,19.1,13.2,19.8,10.2,6.6,6.3,14.5,5.9,1.7,48.2,38.5,11.6,52.8,47.2,1860,11.7,57.0,1749,87.7,12.3,3452,39.8,16.2,16.4,78.1,3.1,17.0,1.0,70.8,1.4,2021
12086007607,"Census Tract 76.07, Miami-Dade County, Florida",69.9,3.7,76.0,0.7,2.0,11.4,33.3,67679,110909,49307,3.0,3.9,3.9,18.3,10.5,11.8,7.8,13.7,9.1,18.0,5.8,4.3,1.7,3.0,36.2,36.7,24.1,69.1,30.9,2173,11.6,80.7,1010,94.7,5.3,2179,46.9,10.8,23.2,66.4,0.3,23.4,1.9,76.4,2.0,2021
12086007608,"Census Tract 76.08, Miami-Dade County, Florida",62.8,4.1,65.4,8.6,1.1,12.9,27.6,96731,149509,56893,2.8,0.0,0.6,16.3,7.4,15.9,7.4,10.5,13.7,25.3,4.4,2.6,8.6,9.6,31.1,54.0,5.2,79.3,20.7,1266,0.0,56.2,822,100.0,0.0,2234,43.5,25.6,14.8,75.2,8.5,14.3,1.7,51.1,4.2,2021
