tract_geoid,tract_2010,block_count,auto_jobs_30_mean,transit_jobs_30_mean,bike_safe_jobs_30_mean,walk_jobs_20_mean,auto_jobs_30_std,transit_jobs_30_std,time_tax_minutes_mean,time_tax_minutes_median,pct_blocks_never_viable,stop_count,route_count,daily_trip_count,peak_trips,midday_trips,evening_trips,late_trips,wheelchair_pct,poverty_rate_pct,hh_no_vehicle_pct,snap_benefits_pct,rent_burden_50pct_plus,unemployment_rate_pct,ind_1_transit_dependency,ind_2_temporal_mismatch,ind_3_structural_gap,ind_4_time_tax,ind_5_service_coverage,ind_6_economic_vulnerability,ind_7_multimodal_deficit,composite_need,composite_access_deficit,equity_priority_score,equity_percentile,equity_tier,transit_desert,multimodal_desert,shift_worker_proxy,low_income_share,peak_offpeak_ratio,institutional_tract
12086013000,12086013000,44,1373457.4318181819,16213.886363636364,4412.090909090909,3893.1363636363635,32239.9999555642,1838.7431781405917,20.113636363636363,20.0,0.0,3.0,2.0,40.0,6.0,13.0,7.0,0.0,0.0,18.4,3.9,38.1,56.7,3.6,0.10533968076460529,0.6681534344335416,0.5147463022383132,0.3319170889112333,0.6744022648651077,0.31953936731999594,0.944750500130989,0.2124395240423006,0.6267939181158371,0.13315580163713717,75.9765625,High,0,0,1.0,18.599999999999998,0.8999999999999999,False
12086013100,12086013100,21,1348989.857142857,10015.952380952382,2828.190476190476,2522.5714285714284,88438.36747209086,1728.2326080765426,27.38095238095238,25.0,0.0,2.0,1.0,15.0,2.0,4.0,2.0,0.0,0.0,17.3,3.4,38.0,55.1,3.8,0.09992859815104499,0.7541877292100309,0.6043680259379408,0.4540109400226511,0.6863581609272862,0.31300003328707,0.9654937019424636,0.2064643157190575,0.6928837116080745,0.14305576139004186,81.8359375,High,0,0,1.0,14.8,1.0,False
12086013202,12086013200,52,1310662.5,13349.807692307691,2512.6153846153848,2006.3846153846155,65863.69428481167,3782.1017035011027,25.192307692307693,25.0,0.0,4.0,3.0,93.0,10.0,33.0,14.0,0.0,0.0,8.0,3.2,29.3,43.5,5.3,0.053819978508930756,0.058591303357564496,0.5432666097451434,0.4172408232265096,0.6615988274142462,0.24010742978684993,0.961071044802335,0.14696370414789034,0.5283537217091597,0.07764882004270174,30.2734375,Low,0,0,0.3,10.399999999999999,0.6382978723404256,False
12086013302,12086013300,57,1314412.4736842106,10289.245614035088,1816.5438596491229,1468.4035087719299,39477.960914515934,3958.9613188702383,27.894736842105264,30.0,0.0,3.0,1.0,28.0,3.0,10.0,2.0,0.0,0.0,15.6,4.1,34.6,55.2,3.2,0.09561385509454207,0.5391019922688076,0.594146688880528,0.4626427269648856,0.6839760232046185,0.29576978211073873,0.9706990364928129,0.1956918186026404,0.6501132935623305,0.1272218527149647,71.6796875,High,0,0,1.0,15.100000000000001,0.75,False
12086013400,12086013400,35,1333392.142857143,13541.828571428572,3004.2571428571428,2815.8,74446.46316180858,3083.6177233674,25.0,25.0,0.0,3.0,1.0,79.0,9.0,17.0,13.0,13.0,0.0,21.1,6.0,42.9,56.2,8.6,0.12969106631174462,0.4340601207393731,0.5438294328102408,0.4140099761440034,0.682432287103803,0.36532959728287245,0.9571296406770818,0.24751033179730852,0.6062922914949004,0.1500636062340533,85.9375,High,0,0,1.0,27.6,0.627906976744186,False
12086013500,12086013500,16,1483666.25,14469.625,4269.1875,3809.6875,41066.26813091251,2465.2851322582005,24.6875,25.0,0.0,3.0,2.0,144.0,18.0,39.0,24.0,13.0,0.0,24.5,10.2,51.7,50.9,4.6,0.16463407981499079,0.505141086435983,0.5516610450786931,0.4087598496349309,0.6712542539928567,0.36562522990645774,0.9488995954754514,0.26512965486072426,0.617143166123583,0.16362295463400017,91.015625,Critical,0,0,1.0,25.7,0.7105263157894737,False
12086013600,12086013600,39,1430654.7435897435,17712.4358974359,2036.3333333333333,1710.4615384615386,64239.123429048435,2627.774822072768,21.53846153846154,20.0,0.0,4.0,3.0,194.0,21.0,47.0,31.0,21.0,0.0,11.7,9.1,46.0,51.8,5.6,0.09926855028727588,0.44133574820461535,0.5055470699616609,0.3558547286588926,0.6585416245479255,0.31908642000383647,0.9545052912238066,0.20917748514555617,0.5831568925193802,0.12198329222250134,68.359375,Moderate,0,0,1.0,20.5,0.6363636363636364,False
12086013700,12086013700,33,1443862.393939394,15622.515151515152,3002.757575757576,2849.4242424242425,63916.838931018094,3615.597116324737,23.03030303030303,25.0,0.0,6.0,2.0,152.0,19.0,45.0,22.0,7.0,0.0,16.6,9.3,43.8,67.8,4.9,0.12339653157469546,0.5565413763451231,0.5315888497498265,0.38091826966257675,0.6650461902194666,0.36416448213217784,0.952868969688768,0.24378050685343666,0.6173927311331522,0.15050831292326738,86.1328125,High,0,0,1.0,26.799999999999997,0.7702702702702703,False
12086013802,12086013800,21,1319433.4761904762,17063.47619047619,1461.2857142857142,1279.142857142857,61223.018295914706,4884.411250284395,23.571428571428573,25.0,0.0,3.0,1.0,78.0,10.0,16.0,12.0,12.0,0.0,22.1,8.5,68.3,52.7,3.6,0.14667354649572387,0.5391019922688076,0.4971199335621036,0.3900093978168149,0.6824625564391131,0.4030629481060221,0.9586506306910056,0.274868247300873,0.6134689021555689,0.16862312190909198,92.578125,Critical,0,0,1.0,31.0,0.75,False
12086013900,12086013900,61,1303726.6229508198,13347.196721311475,1321.0983606557377,1082.049180327869,35456.65985686555,3835.129166967183,25.81967213114754,25.0,0.0,2.0,3.0,372.0,43.0,89.0,60.0,40.0,0.0,10.9,0.6,18.8,61.0,3.2,0.055604968506056965,0.0700102421779496,0.5422789374939868,0.42778079977435757,0.6571309555899993,0.25304751136838066,0.9670429305401211,0.1543262399372188,0.5328487731152829,0.08223254761004181,34.1796875,Low,0,0,0.3,9.3,0.6825396825396826,False
