tract_fips,NAME,pop_16plus,in_labor_force,employed,unemployed,workers_16plus,commute_drove_alone,commute_carpooled,commute_public_transit,commute_walked,commute_other,commute_work_from_home,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,poverty_rate_pct,with_health_insurance,without_health_insurance,industry_agriculture,industry_construction,industry_manufacturing,industry_wholesale,industry_retail,industry_transport_warehouse,occupation_management,occupation_service,n_stops,n_trips_total,n_routes_served,avg_trips_per_stop,wheelchair_accessible_stops,has_rail_access,transit_jobs_accessible_30min,transit_workers_30min,n_blocks,auto_jobs_accessible_30min,auto_workers_30min,transit_auto_ratio,rt_active_vehicles,rt_active_trips
12086018803,Census Tract 188.03; Miami-Dade County; Florida,2636,1689,1689,0,1664,1371,86,26,14,0,167,25.2,80313,82199,27627,-888888888,-888888888,-888888888,0,65,128,91,131,34,802,321,0,0,,,0,0,,,,,,,0,0
12086018901,Census Tract 189.01; Miami-Dade County; Florida,2106,1507,1436,71,1425,1083,198,42,0,15,87,33.0,94148,103344,40686,-888888888,-888888888,-888888888,18,102,66,39,116,184,652,90,0,0,,,0,0,,,,,,,0,0
12086018902,Census Tract 189.02; Miami-Dade County; Florida,2575,1585,1562,23,1562,1243,76,34,0,13,196,25.8,99167,126472,42788,-888888888,-888888888,-888888888,0,58,73,17,106,45,882,258,0,0,,,0,0,,,,,,,0,0
12086019000,Census Tract 190; Miami-Dade County; Florida,4924,3289,3149,117,3077,2541,101,75,0,56,304,33.5,84291,112083,41341,-888888888,-888888888,-888888888,14,121,118,181,356,435,1362,354,9,954,2.0,106.0,0,0,6890.122448979592,14678.775510204081,49.0,724887.6530612245,770970.7959183673,0.0095,0,0
12086019100,Census Tract 191; Miami-Dade County; Florida,4660,2770,2744,26,2731,2162,216,24,0,0,329,28.0,55308,79734,35977,-888888888,-888888888,-888888888,87,226,78,171,235,305,1188,115,5,589,2.0,117.8,0,0,6720.285714285715,10493.095238095239,63.0,953811.7777777778,955729.8888888889,0.007,0,0
12086019200,Census Tract 192; Miami-Dade County; Florida,4084,2750,2677,73,2641,2093,144,4,29,29,342,27.6,95429,113656,38009,-888888888,-888888888,-888888888,17,91,123,80,372,171,1252,333,3,363,2.0,121.0,0,0,3612.9125,7317.0625,80.0,737293.9,783176.175,0.0049,0,0
12086019301,Census Tract 193.01; Miami-Dade County; Florida,2152,1535,1488,47,1449,1155,63,16,0,33,182,37.6,82455,95410,33750,-888888888,-888888888,-888888888,0,29,23,73,170,314,616,187,0,0,,,0,0,,,,,,,0,0
12086019302,Census Tract 193.02; Miami-Dade County; Florida,4139,2913,2824,66,2828,2082,202,43,57,88,356,33.1,78446,101722,35463,-888888888,-888888888,-888888888,11,164,107,78,411,148,1119,392,0,0,,,0,0,,,,,,,0,0
12086019401,Census Tract 194.01; Miami-Dade County; Florida,1994,1452,1441,11,1441,1076,53,5,0,6,301,27.0,108359,132793,43839,-888888888,-888888888,-888888888,0,87,37,80,78,104,806,148,0,0,,,0,0,,,,,,,0,0
12086019402,Census Tract 194.02; Miami-Dade County; Florida,4468,3111,2987,124,2911,2353,219,0,54,0,285,29.0,95327,118535,35300,-888888888,-888888888,-888888888,0,241,142,60,346,223,1379,540,0,0,,,0,0,,,,,,,0,0
12086019501,Census Tract 195.01; Miami-Dade County; Florida,3012,2186,2046,116,2067,1704,121,25,0,41,176,38.1,97443,121834,42242,-888888888,-888888888,-888888888,3,60,80,31,364,156,1027,350,0,0,,,0,0,,,,,,,0,0
