tract_geoid,tier_baseline,equity_baseline,composite_need,composite_access_deficit,deficit_baseline_stored,flag_fragile,flag_worsening,S1_equity_new,S1_tier_new,S1_deficit_new,S2_equity_new,S2_tier_new,S2_deficit_new,S3_equity_new,S3_tier_new,S3_deficit_new,S4_equity_new,S4_tier_new,S4_deficit_new,S5_equity_new,S5_tier_new,S5_deficit_new
12086003400,Moderate,0.0995825774666738,0.2819167722885725,0.3532339585838485,0.2591257,True,False,0.09958257746667386,Moderate,0.26520994,0.09933411984949962,Moderate,0.26454824,0.09958257746667386,Moderate,0.26520994,0.09958257746667386,Moderate,0.26520994,0.09958257746667386,Moderate,0.26520994
12086003606,Low,0.053887809333595,0.247557493883065,0.2176779562934547,0.5659451,False,False,0.05388780933359501,Low,0.5922603,0.04891775155554572,Low,0.5376363,0.05388780933359501,Low,0.5922603,0.053752877949133186,Low,0.59077734,0.05388780933359501,Low,0.5922603
12086003605,Moderate,0.1123613966526053,0.2894503384919881,0.3881888590560948,0.57099193,True,False,0.11236139665260529,Moderate,0.57791203,0.1020324987879502,Moderate,0.52478707,0.11236139665260529,Moderate,0.57791203,0.11177184345224522,Moderate,0.57487977,0.11236139665260529,Moderate,0.57791203
12086003710,Low,0.0336651502721435,0.1404865440946868,0.2396325604639653,0.53408587,False,False,0.03366515027214356,Low,0.54356575,0.03067131010160589,Low,0.49522647,0.03366515027214356,Low,0.54356575,0.03342821503724916,Low,0.53974015,0.03366515027214356,Low,0.54356575
12086003703,Low,0.0113437413024136,0.0764417069457997,0.1483972788631838,0.23600873,False,False,0.011343741302413612,Low,0.22139052,0.011778300325645419,Low,0.2298716,0.011343741302413612,Low,0.22139052,0.011343741302413612,Low,0.22139052,0.011343741302413612,Low,0.22139052
12086003704,Low,0.0252354104004259,0.114309886593951,0.2207631478987163,0.15745103,False,True,0.02523541040042589,Low,0.15603922,0.028421499008989014,Low,0.1757399,0.02523541040042589,Low,0.15603922,0.02523541040042589,Low,0.15603922,0.02523541040042589,Low,0.15603922
12086003705,Low,0.0155739243919666,0.0888970036549979,0.1751906560586422,0.2628991,False,False,0.015573924391966597,Low,0.27006775,0.015598813387899974,Low,0.27049935,0.015573924391966597,Low,0.27006775,0.013819048742287272,Low,0.23963642,0.015573924391966597,Low,0.27006775
12086003706,Low,0.0143611288625458,0.1091174366531187,0.1316116773178927,0.100956105,False,True,0.014361128862545855,Low,0.11851256,0.01627406617608084,Low,0.13429873,0.014361128862545855,Low,0.11851256,0.014361128862545855,Low,0.11851256,0.014361128862545855,Low,0.11851256
12086003707,Low,0.0184548707798676,0.1144722818450838,0.1612169381304267,0.11791139,False,False,0.018454870779867644,Low,0.11974249,0.019894043969007916,Low,0.12908041,0.018454870779867644,Low,0.11974249,0.018454870779867644,Low,0.11974249,0.018454870779867644,Low,0.11974249
12086003801,Low,0.0771308431460464,0.1439010329772101,0.5359992319044842,0.3758702,False,False,0.07713084314604646,Low,0.37332228,0.07541699921117839,Low,0.36502707,0.07713084314604646,Low,0.37332228,0.06992882212859391,Low,0.33846366,0.07713084314604646,Low,0.37332228
12086003803,Moderate,0.10997315220134,0.201382127923747,0.5460919165725626,0.3611387,False,False,0.10997315220133998,Moderate,0.37131676,0.11355904230398585,Moderate,0.38342428,0.10997315220133998,Moderate,0.37131676,0.09739981096678035,Moderate,0.32886374,0.10997315220133998,Moderate,0.37131676
12086003804,Moderate,0.0977587599168646,0.1729792257351518,0.5651474013795326,0.35005623,False,False,0.0977587599168646,Moderate,0.32989526,0.09075649795339136,Moderate,0.30626553,0.0977587599168646,Moderate,0.32989526,0.08563683558110058,Low,0.2889888,0.0977587599168646,Moderate,0.32989526
12086003906,Low,0.0718370407719043,0.1156353286661122,0.621237831038022,0.5730566,False,True,0.07183704077190435,Low,0.5817961,0.06423044946523723,Low,0.5201916,0.07183704077190435,Low,0.5817961,0.07140062041803662,Low,0.5782616,0.07183704077190435,Low,0.5817961
12086003909,High,0.1461641665518521,0.2776253360655848,0.5264799265918694,0.3496168,False,False,0.14616416655185216,High,0.34387967,0.1505770182413206,High,0.35426176,0.14616416655185216,High,0.34387967,0.12940024025070632,High,0.30443928,0.12619962859884942,High,0.2969092
12086003911,High,0.1377991843693631,0.2490732343103925,0.5532476612787673,0.4520407,False,False,0.1377991843693631,High,0.43853375,0.13249261653137717,High,0.42164606,0.1377991843693631,High,0.43853375,0.1278965550398478,High,0.4070195,0.11806960463613159,Moderate,0.3757461
12086003912,High,0.1556011454164604,0.2169210472977775,0.7173169563526013,0.6765108,False,True,0.15560114541646042,High,0.6014734,0.13959105377416617,High,0.53958666,0.15348079756702515,High,0.5932772,0.15440128747914394,High,0.5968354,0.1271812222605953,High,0.4916167
12086003913,High,0.1253738707904804,0.2261959000308053,0.554271190474301,0.39138067,False,False,0.12537387079048043,High,0.40004286,0.12815382141979123,High,0.4089131,0.12538218061639667,High,0.40006936,0.11294621227242481,Moderate,0.3603887,0.11040527375831612,Moderate,0.35228106
12086003914,Moderate,0.1079992104431504,0.2007931682552305,0.5378629730363703,0.3654704,False,False,0.1079992104431504,Moderate,0.35877344,0.11496368904179664,Moderate,0.38190946,0.1079992104431504,Moderate,0.35877344,0.09644657220928424,Moderate,0.32039556,0.1079992104431504,Moderate,0.35877344
12086003915,Moderate,0.0877332300590991,0.1718095180395409,0.5106424315730159,0.35212362,False,False,0.08773323005909911,Moderate,0.34576637,0.09392131077866035,Moderate,0.3701543,0.08773323005909911,Moderate,0.34576637,0.07784154946195229,Low,0.30678216,0.08773323005909911,Moderate,0.34576637
12086003916,High,0.1400721406048572,0.2198018435566664,0.6372655403536035,0.4313283,False,True,0.14007214060485723,High,0.4261182,0.14622975853172793,High,0.4448505,0.13357000324865695,High,0.40633783,0.1342095328327269,High,0.40828335,0.12757878824789723,High,0.38811174
12086003917,Low,0.0726073479269668,0.1331990991326525,0.5451038963458563,0.36021984,False,False,0.07260734792696684,Low,0.35048544,0.06864304729074948,Low,0.33134922,0.07260734792696684,Low,0.35048544,0.06520681257361552,Low,0.31476206,0.07260734792696684,Low,0.35048544
12086003918,Low,0.065645805001327,0.1207140758003566,0.5438123480305277,0.41524738,False,True,0.06564580500132702,Low,0.41170737,0.06498555216631947,Low,0.4075665,0.06564580500132702,Low,0.41170737,0.0631640326748578,Low,0.39614257,0.06564580500132702,Low,0.41170737
12086003919,Low,0.0437736596542704,0.1077580736938888,0.406221623621627,0.23523624,False,True,0.04377365965427044,Low,0.23392151,0.04697979564272526,Low,0.25105473,0.04377365965427044,Low,0.23392151,0.03762380447923352,Low,0.20105737,0.04377365965427044,Low,0.23392151
12086003921,Low,0.0421203149770907,0.0942800194005125,0.4467575976852392,0.3368834,False,False,0.04212031497709071,Low,0.3576174,0.043818241168348315,Low,0.37203345,0.04212031497709071,Low,0.3576174,0.03866834641413364,Low,0.32830888,0.04212031497709071,Low,0.3576174
12086003922,Low,0.0366932849463003,0.0850286209779389,0.431540398095137,0.2883185,False,False,0.03669328494630027,Low,0.28833863,0.038557066363063844,Low,0.30298436,0.03669328494630027,Low,0.28833863,0.033488670692779186,Low,0.26315653,0.03669328494630027,Low,0.28833863
